chrom	length	bases	mean	min	max
scaffold_1	6137164	311354050	50.73	0	573
scaffold_1_region	6137164	311354050	50.73	0	573
scaffold_2	4972404	245358799	49.34	0	691
scaffold_2_region	4972404	245358799	49.34	0	691
scaffold_3	4857108	239376703	49.28	0	258
scaffold_3_region	4857108	239376703	49.28	0	258
scaffold_4	4183659	197241063	47.15	0	373
scaffold_4_region	4183659	197241063	47.15	0	373
scaffold_5	4154191	197003162	47.42	0	2172
scaffold_5_region	4154191	197003162	47.42	0	2172
scaffold_6	3981587	212142031	53.28	0	4573
scaffold_6_region	3981587	212142031	53.28	0	4573
scaffold_7	3870736	195087149	50.40	0	2490
scaffold_7_region	3870736	195087149	50.40	0	2490
scaffold_8	3291039	163157317	49.58	0	291
scaffold_8_region	3291039	163157317	49.58	0	291
scaffold_9	32403	108229710	3340.11	0	4184
scaffold_9_region	32403	108229710	3340.11	0	4184
total	35480291	1868949984	52.68	0	4573
total_region	35480291	1868949984	52.68	0	4573
