chrom	length	bases	mean	min	max
scaffold_1	6137164	423814653	69.06	0	863
scaffold_1_region	6137164	423814653	69.06	0	863
scaffold_2	4972404	334875842	67.35	0	216
scaffold_2_region	4972404	334875842	67.35	0	216
scaffold_3	4857108	337722437	69.53	0	1068
scaffold_3_region	4857108	337722437	69.53	0	1068
scaffold_4	4183659	261362515	62.47	0	200
scaffold_4_region	4183659	261362515	62.47	0	200
scaffold_5	4154191	261454219	62.94	0	2124
scaffold_5_region	4154191	261454219	62.94	0	2124
scaffold_6	3981587	279934003	70.31	0	5700
scaffold_6_region	3981587	279934003	70.31	0	5700
scaffold_7	3870736	263147113	67.98	0	3127
scaffold_7_region	3870736	263147113	67.98	0	3127
scaffold_8	3291039	210172207	63.86	0	218
scaffold_8_region	3291039	210172207	63.86	0	218
scaffold_9	32403	6625066	204.46	0	1244
scaffold_9_region	32403	6625066	204.46	0	1244
total	35480291	2379108055	67.05	0	5700
total_region	35480291	2379108055	67.05	0	5700
