chrom	length	bases	mean	min	max
scaffold_1	6137164	292888294	47.72	0	1907
scaffold_1_region	6137164	292888294	47.72	0	1907
scaffold_2	4972404	231800197	46.62	0	572
scaffold_2_region	4972404	231800197	46.62	0	572
scaffold_3	4857108	230320271	47.42	0	227
scaffold_3_region	4857108	230320271	47.42	0	227
scaffold_4	4183659	187968765	44.93	0	231
scaffold_4_region	4183659	187968765	44.93	0	231
scaffold_5	4154191	186236995	44.83	0	11115
scaffold_5_region	4154191	186236995	44.83	0	11115
scaffold_6	3981587	201327691	50.56	0	4576
scaffold_6_region	3981587	201327691	50.56	0	4576
scaffold_7	3870736	184404460	47.64	0	4769
scaffold_7_region	3870736	184404460	47.64	0	4769
scaffold_8	3291039	153484921	46.64	0	251
scaffold_8_region	3291039	153484921	46.64	0	251
scaffold_9	32403	24020704	741.31	23	989
scaffold_9_region	32403	24020704	741.31	23	989
total	35480291	1692452298	47.70	0	11115
total_region	35480291	1692452298	47.70	0	11115
